"year","month","day","wday","mid_load","target_residuals","lm_pred","index","lstm","arima_lstm","stoch","full_model","res_full_model"
2019,5,"WD","Di",-1253.01815068493,496.16042272997,-1749.1785734149,2317,63.216198,-15.1774585377199,-78.3936565377199,-1827.57222995262,574.55407926769
2019,5,"WD","Mi",-1249.8098173516,204.842403270079,-1454.65222062168,2318,45.90436,-26.7295533556661,-72.6339133556661,-1527.28613397735,277.476316625746
2019,5,"HD","Do",-1755.1848173516,792.360824233573,-2547.54564158517,2319,212.36502,140.635244535475,-71.729775464525,-2619.2754170497,864.090599698095
2019,5,"WD","Fr",-1497.39315068493,-202.121528129402,-1295.27162255553,2320,-474.02817,-551.422685161447,-77.3945151614467,-1372.66613771698,-124.727012967953
2019,5,"WE","Sa",-1710.47648401827,285.052794664823,-1995.52927868309,2321,-346.5566,-424.311914149919,-77.7553141499191,-2073.28459283301,362.808108814739
2019,5,"WE","So",-2510.72648401827,243.572657301729,-2754.29914132,2322,-446.7221,-518.954199379267,-72.2320993792669,-2826.53124069927,315.804756680997
2019,5,"WD","Mo",-1634.26815068493,266.332435342463,-1900.60058602739,2323,-732.1879,-804.572936270649,-72.3850362706493,-1972.98562229804,338.717471613109
2019,5,"WD","Di",-1638.64315068493,402.284619891534,-2040.92777057646,2324,-717.1327,-794.857030560344,-77.7243305603445,-2118.6521011368,480.008950451874
2019,5,"WD","Mi",-1596.14315068493,559.888216805577,-2156.03136749051,2325,-619.8217,-696.911907774787,-77.0902077747871,-2233.1215752653,636.978424580367
2019,5,"WD","Do",-1537.51815068493,696.656827065212,-2234.17497775014,2326,-489.13568,-561.108642444441,-71.9729624444405,-2306.14794019458,768.62978950965
2019,5,"WD","Fr",-1620.10148401827,477.227166061186,-2097.32865007946,2327,-327.49072,-400.543973200061,-73.0532532000607,-2170.38190327952,550.280419261251
2019,5,"WE","Sa",-2087.6848173516,764.386516463477,-2852.07133381508,2328,-48.350193,-126.264874420229,-77.9146814202292,-2929.98601523531,842.301197883709
2019,5,"WE","So",-2583.97648401827,848.324071649103,-3432.30055566737,2329,46.629997,-29.7952387906912,-76.4252357906912,-3508.72579145806,924.749307439791
2019,5,"WD","Mo",-1815.8098173516,554.110006256655,-2369.91982360825,2330,-35.414997,-107.263982146226,-71.8489851462255,-2441.76880875448,625.958991402876
2019,5,"WD","Di",-1761.85148401827,624.27682555262,-2386.12830957089,2331,-57.196262,-130.905301906014,-73.7090399060136,-2459.8373494769,697.985865458633
2019,5,"WD","Mi",-1753.51815068493,530.864565084279,-2284.38271576921,2332,-57.40311,-135.378274003396,-77.9751640033955,-2362.35787977261,608.839729087675
2019,5,"WD","Do",-1801.8098173516,451.252456701472,-2253.06227405307,2333,-46.893097,-122.677226869769,-75.7841298697691,-2328.84640392284,527.036586571239
2019,5,"WD","Fr",-1873.1848173516,363.527424228474,-2236.71224158007,2334,14.246243,-57.6024639323329,-71.8487069323329,-2308.5609485124,435.376131160803
2019,5,"WE","Sa",-2281.76815068493,691.383283563317,-2973.15143424825,2335,125.80837,51.4779318828749,-74.3304381171251,-3047.48187236538,765.713721680445
2019,5,"WE","So",-2891.6848173516,725.896315521129,-3617.58113287273,2336,159.9213,82.0024156153723,-77.9188843846277,-3695.50001725736,803.815199905758
2019,5,"WD","Mo",-1843.1848173516,404.867948770509,-2248.05276612211,2337,160.12389,84.9369102805919,-75.1869797194081,-2323.23974584152,480.054928489918
2019,5,"WD","Di",-1709.5598173516,324.25904877785,-2033.81886612945,2338,140.4206,68.4630031004457,-71.9575968995543,-2105.776463029,396.216645677404
2019,5,"WD","Mi",-1567.39315068493,442.766949008603,-2010.16009969353,2339,137.83629,62.9369911597327,-74.8992988402672,-2085.0593985338,517.666247848867
2019,5,"WD","Do",-1307.1848173516,568.244699018974,-1875.42951637057,2340,80.34623,2.58465217153433,-77.7615778284657,-1953.19109419904,646.006276847436
2019,5,"WD","Fr",-1490.72648401827,361.300811857464,-1852.02729587573,2341,63.931747,-10.7181967521994,-74.6499437521994,-1926.67723962793,435.950755609659
2019,6,"WE","Sa",-2042.01815068493,149.318222857911,-2191.33637354284,2342,73.18537,40.2908425338984,-32.8945274661016,-2224.23090100894,182.212750324011
2019,6,"WE","So",-2487.39315068493,172.582744831457,-2659.97589551639,2343,4.8325553,-31.3045212410369,-36.1370765410369,-2696.11297205743,208.719821372497
2019,6,"WD","Mo",-1394.72648401827,228.05144865199,-1622.77793267026,2344,-71.22873,-109.48506161507,-38.2563316150699,-1661.03426428533,266.30778026706
2019,6,"WD","Di",-1449.14315068493,27.9620313255775,-1477.10518201051,2345,-90.60907,-125.529797985911,-34.9207279859112,-1512.02590999642,62.8827593114909
2019,6,"WD","Mi",-1350.3098173516,212.968865227498,-1563.2786825791,2346,-62.64197,-95.8122237205186,-33.1702537205186,-1596.44893629962,246.139118948018
2019,6,"WD","Do",-1491.8098173516,25.1248194849236,-1516.93463683652,2347,-86.461655,-123.024142455916,-36.5624874559161,-1553.49712429244,61.6873069408359
