"X","prediction","real"
86,60.523827,-28.880280113305
87,73.358826,-376.783370565786
88,-70.015976,-263.540561881101
89,-174.53699,-168.64299034154
90,-112.316765,-36.1873389665136
91,-151.88043,-82.3921418606794
92,-170.5416,-65.1083850746902
93,-236.28255,-394.329731436806
94,-382.35254,-472.413425395268
95,-694.0413,-89.1541324417903
96,-865.7837,71.6380686982135
97,-650.42395,233.644292844365
98,-404.26678,332.139183236748
99,-226.53676,355.257654249124
100,-155.80319,629.023675669896
101,-172.60144,689.45284403308
102,-336.851,683.108039494633
103,-612.6446,574.260429777488
104,-568.0721,797.943037326385
105,-466.9905,1268.08076556719
106,-406.56436,922.861822779422
107,-394.6595,203.066013090738
108,-449.04175,93.1282590703807
109,-570.7536,273.238696503618
110,-726.7093,-75.4458564799287
111,-559.46564,264.497769939197
112,-376.72662,162.907352464104
113,-273.148,285.850186309985
114,-245.78241,908.267228062778
115,-278.85382,537.609365559098
116,-287.81348,1068.3664656241
117,-322.8677,-612.442101204066
118,-261.01282,-168.743242830124
119,-484.54022,-925.761273741101
120,-28.35355,97.0703880014255
121,-489.75717,-721.73037602814
122,-361.71124,-669.655159877341
123,67.87751,-266.384654859985
124,244.17627,-11.5925365543079
125,-54.632442,0.437151046526319
126,63.216198,211.359074316046
127,45.90436,-176.656856082132
128,212.36502,433.080053052654
129,-474.02817,-604.712550836235
130,-346.5566,-57.7631320122508
131,-446.7221,12.0973345065928
132,-732.1879,116.640177533289
133,-717.1327,312.313471594837
134,-619.8217,544.661272595983
135,-489.13568,733.84426093989
136,-327.49072,461.069114844904
137,-48.350193,769.881403839086
138,46.629997,871.904720218185
139,-35.414997,574.184088258248
140,-57.196262,606.217882382738
141,-57.40311,479.372681632146
142,-46.893097,455.33731968841
143,14.246243,387.553021938149
144,125.80837,675.663738582989
145,159.9213,738.626335336759
146,160.12389,394.578376483033
147,140.4206,292.747436538681
148,137.83629,425.845753378581
149,80.34623,539.672078649856
150,63.931747,319.382739773973
151,73.18537,136.229389587247
152,4.8325553,151.26151625464
153,-71.22873,209.375925888555
154,-90.60907,7.79731105349114
155,-62.64197,207.043274189404
156,-86.461655,16.7888563988447
157,-43.76828,121.036871213186
158,95.57694,197.702989553091
159,91.35737,228.885657477732
160,-10.681423,54.176126169746
161,1.5489343,132.870356133883
162,40.081345,221.526706389855
163,6.362591,372.827772124655
164,44.285477,302.948717312457
165,204.12659,298.726153043884
166,415.1612,572.381800525989
167,-28.493446,-686.004427178205
168,44.020493,138.518212956559
169,70.11963,594.289087734668
170,44.496895,417.587366414575
171,43.525497,474.114842610843
172,195.04121,539.460928338755
173,184.12177,543.996360590579
174,-14.669409,287.798831194086
175,1.9193126,183.647832418657
176,4.898722,186.358833263154
177,-13.495258,55.6940247575129
178,330.61792,708.676577965275
179,125.25226,-133.222573768953
180,202.76923,214.556662174649
181,-16.414644,285.580315025076
182,-39.085537,300.797532494122
183,-70.41897,-282.497975081104
184,-26.512058,-80.4290273394507
185,29.908783,133.901441394997
186,185.86038,483.384507519756
187,189.16054,277.098486546586
188,17.348534,569.017514666096
189,-7.372753,53.6235503131415
190,-41.428013,312.27080361549
191,-9.938303,232.356784259742
192,28.440346,134.246303655859
193,104.74266,366.036906609993
194,110.48093,608.601422675563
195,82.31612,247.981373623058
196,64.83446,269.508379670265
197,62.81384,271.213498967243
198,98.04277,287.304778434853
199,128.76195,196.298290791174
200,156.04012,287.045716888039
201,162.66408,200.430654345202
202,185.55096,108.343044511089
203,154.4978,-6.46592956862836
204,140.56363,-35.7508694018549
205,150.7956,142.681290477585
206,168.80124,199.568981396088
207,185.71954,230.767115898063
208,183.43646,372.702812892125
209,205.79779,224.506691259102
210,167.83994,78.0995473197362
211,135.35722,-165.086212912855
212,142.01994,103.944583233783
213,157.22545,326.857965993154
214,196.73763,728.148924149305
215,210.19916,757.771715153367
216,209.63043,394.478546078939
217,174.32808,205.578357358199
218,139.90858,83.7291736005394
219,132.59775,366.160185138517
220,133.47304,210.068220629533
221,201.40555,197.725705367292
222,216.84644,362.14073683883
223,171.8254,355.382478854859
224,147.9523,705.652755533686
225,103.07714,560.165663807477
226,83.912155,481.003190113706
227,85.10458,316.607401699655
228,181.71768,672.744305148826
229,209.04848,544.037513152063
230,136.08223,158.932980636117
231,125.90762,405.896958568962
232,88.14323,395.947086824775
233,70.45834,264.655390991884
234,65.82287,86.7248921260372
235,156.5723,55.4055452230667
236,182.54414,313.89617230377
237,216.5219,934.093776657548
238,82.37929,180.948556637077
239,69.16431,47.6531495469987
240,68.68522,333.414773001395
241,78.923164,270.150607965057
242,177.96886,381.579462040928
243,210.63744,289.418304682202
244,125.627205,-95.0100618273224
245,128.98975,-18.7546211084275
246,128.5688,67.3503145937396
247,150.81198,42.0521862645627
248,202.72952,292.828308010828
249,367.84952,382.518790761753
250,424.9448,414.648646354412
251,288.1645,83.8790179786747
252,293.2943,351.663627472664
253,288.92886,-86.6044650943293
254,300.68927,272.8905377029
255,359.31805,217.129009240774
256,554.0951,591.542181270633
257,605.29297,155.555617872566
258,380.27725,347.27695206331
259,293.59143,52.1038703336515
260,195.488,-149.169536406637
261,147.66147,-535.500803118529
262,152.90443,-610.813558257009
263,288.87595,-817.993828200332
264,315.0778,-95.6877428608762
265,25.350342,-566.808332995659
266,-210.6535,-206.33060117572
267,-386.48105,-296.870893644852
268,-404.02118,35.3825619823478
269,-339.7627,175.010924780579
270,-141.33261,394.062356918403
271,-45.58551,559.49989808077
272,-219.37717,570.028357755903
273,-322.03683,46.7940336918711
274,-358.93805,-17.6550736386515
275,-281.13342,188.771246064759
276,-234.66696,412.95564907579
277,-117.154366,301.856172505286
278,-90.58985,-16.1834253444066
279,-214.42172,-170.635422204937
