,prediction,real
202,216.09776,95.21445859608015
203,35.6342,-4.8305597193172165
204,-14.162768,-42.88997600335699
205,134.2205,130.07189096487505
206,318.45566,183.26883898945988
207,302.6907,215.8795848836571
208,175.18517,335.76238803872695
209,97.40223,188.0756043776941
210,-23.452597,58.34449667079318
211,-104.09115,-155.07064555853592
212,-50.871704,67.72986559737718
213,145.73344,280.41784832800516
214,169.30913,679.5400924473191
215,261.44852,753.1009952286299
216,314.4877,386.58438846264585
217,188.5656,166.91479125815889
218,-9.801433,103.0069558584129
219,-37.230762,366.55814942185134
220,22.008436,223.21840231455727
221,85.39585,212.48178640492685
222,172.55536,379.77093415385576
223,124.891335,352.63550811616676
224,23.941921,696.04026811795
225,-25.930319,570.3485097108313
226,-4.7933316,507.8678901082969
227,101.94477,326.89409846405215
228,96.74121,638.4185901579189
229,173.41399,545.8596077625409
230,115.80223,162.26259125429414
231,39.13659,395.49181547803397
232,-3.6655176,389.73194442343913
233,-47.475872,281.7979622148578
234,62.71599,106.64251418414705
235,54.148815,68.84215432017885
236,134.04054,331.7203287389508
237,184.95201,921.0960270312078
238,-76.31458,200.2349567274679
239,22.05645,65.84502629171212
240,-32.643307,337.79015889657313
241,66.486,282.25993840256086
242,90.44856,388.0006942017161
243,149.49199,324.30747320894284
244,22.553604,-63.66603044937602
245,-54.77677,21.124727667003203
246,-88.78652,64.7725105005021
247,-42.674686,26.219601131891395
248,155.4405,284.17932226551517
249,323.28873,398.2598443854188
250,461.06387,442.0146998621599
251,258.66788,105.97515069160498
252,167.97935,341.05220113471194
253,61.185493,-84.67312531127278
254,157.70357,279.8005284489912
255,377.84445,228.39020609119595
256,536.4143,573.4185027383058
257,567.57587,263.78383339483787
258,288.3739,334.3693153358438
259,100.57906,206.2025355251498
260,-108.000244,159.95338493865805
261,0.329379,-151.72365237930893
262,183.24557,-128.94565737545793
263,505.50397,-309.45283408669303
264,513.47455,255.01199693843193
265,114.32378,-71.06229846556194
266,-381.86792,259.26090285212587
267,-675.65656,129.919518644141
268,-533.9723,415.87003496354197
269,-487.1471,535.2417377934067
270,-167.57675,662.8739502194032
271,-44.00477,827.1570985620108
272,-402.68463,715.8353445623233
273,-607.49146,-297.25764684798895
274,-531.20154,-446.43290360405706
275,-460.43298,-182.41992288010104
276,-510.74942,170.0771536528381
277,-636.5018,171.7183810678551
278,-524.3628,3.8324752854328117
279,-503.66595,-48.72465656448666
280,-294.154,-325.280621087176
281,-197.3695,178.2524354853229
282,-146.31464,54.950820418486686
283,-260.3264,219.7290368970438
284,-213.93855,249.33809837373298
285,-205.07773,66.73774892722115
286,-204.5908,217.38133381385893
287,-364.79367,121.43398921489995
288,-31.899277,54.41361023078105
289,-37.064423,68.44893874990954
290,16.222853,33.61964268537216
291,197.73557,120.6705921970281
292,105.099304,382.7813840101919
